ItemType	Code	Equiv1	Equiv2	*skillID	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	UICategory	RunewordCategory1	RunewordCategory2	Restricted
Second Hand	seco			53	id 0 lev54	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_off		
Staves And Rods	rod	blun		54	id 0 lev55	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Missile	misl	misc		55	id 0 lev56	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0		r_mis		
Blunt	blun	mele		56	id 0 lev57	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Expansion				57	id 0 lev58																																0				
Jewel	jewl	sock		58	id 0 lev59	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0	jewel			
Class Specific	clas			59	id 0 lev60	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Amazon Item	amaz	clas		60	id 0 lev61	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		ama	0								0				
Barbarian Item	barb	clas		61	id 0 lev62	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		bar	0								0				
Necromancer Item	necr	clas		62	id 0 lev63	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		nec	0								0				
Paladin Item	pala	clas		63	id 1 lev0	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		pal	0								0		r_off		
Sorceress Item	sorc	clas		64	id 1 lev1	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		sor	0								0				
Assassin Item	assn	clas		65	id 1 lev2	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	2	ass	ass	0							weap	0				
Druid Item	drui	clas		66	id 1 lev30	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		dru	0								0				
Warlock Item	warl	clas		67	id 1 lev31	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1	war	war	0							armo	0				
Hand to Hand	h2h	mele	assn	68	id 1 lev4	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2		ass	0							weap	0	assas	r_mel		
Orb	orb	weap	sorc	69	id 1 lev5	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	sor	sor	0							weap	0	sorce	r_mel		
Voodoo Heads	head	shld	necr	70	id 1 lev6	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	nec	nec	0							armo	0	necro	r_arm		
Auric Shields	ashd	shld	pala	71	id 1 lev7	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		pal	0							armo	0	palad	r_off		
Primal Helm	phlm	helm	barb	72	id 1 lev8	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	bar	bar	0							armo	0	barbh	r_hel		
Pelt	pelt	helm	drui	73	id 1 lev9	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	dru	dru	0							armo	0	druid	r_hel		
Cloak	cloa	tors	assn	74	id 1 lev10	1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	1	ass	ass	0							armo	0		r_arm		
Rune	rune	sock		75	id 1 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	runes			
Circlet	circ	helm		76	id 1 lev12	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	3			0							armo	0	circl	r_hel		
Healing Potion	hpot	poti		77	id 1 lev13	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Mana Potion	mpot	poti		78	id 1 lev14	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Rejuv Potion	rpot	hpot	mpot	79	id 1 lev15	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Stamina Potion	spot	poti		80	id 1 lev16	0	0					0	0	0	1			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Antidote Potion	apot	poti		81	id 1 lev17	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Thawing Potion	wpot	poti		82	id 1 lev18	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Small Charm	scha	char		83	id 1 lev19	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0	charm			
Medium Charm	mcha	char		84	id 1 lev20	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch2	invch5	invch8				misc	0	charm			
Large Charm	lcha	char		85	id 1 lev21	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0	charm			
Amazon Bow	abow	bow	amaz	86	id 1 lev22	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	5	1	1		ama	0							weap	0	amazo	r_mis		
Amazon Spear	aspe	spea	amaz	87	id 1 lev23	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	1		ama	0							weap	0	amazo	r_mel		
Amazon Javelin	ajav	jave	amaz	88	id 1 lev24	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	2	40	3	0	1		ama	0							misc	0	amazo	r_mel		
Hand to Hand 2	h2h2	h2h		89	id 1 lev25	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2	ass	ass	0							weap	0	assas	r_mel		
Magic Bow Quiv	mboq	bowq		90	id 1 lev26	0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0				
Magic Xbow Quiv	mxbq	xboq		91	id 1 lev27	0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0				
Chipped Gem	gem0	gem		92	id 1 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Flawed Gem	gem1	gem		93	id 1 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Standard Gem	gem2	gem		94	id 1 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Flawless Gem	gem3	gem		95	id 1 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Perfect Gem	gem4	gem		96	id 1 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Amethyst	gema	gem		97	id 1 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Diamond	gemd	gem		98	id 1 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Emerald	geme	gem		99	id 1 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Ruby	gemr	gem		100	id 1 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Sapphire	gems	gem		101	id 1 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Topaz	gemt	gem		102	id 1 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Skull	gemz	gem		103	id 1 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Swords and Knives	blde	mele		104	id 1 lev400	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0	gems			
Spears and Polearms	sppl	mele		105	id 1 lev401	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Grimoire	grim	shld	warl	106	id 1 lev402	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	war	war	0							armo	0	warlo			
Colossal Jewel	cjwl	jewl		107	id 1 lev403	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0	jewel			1
Crafted Sunder Charm	csch	char		108	id 1 lev404	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0				
Jewelery	jwly	misc		109	id 1 lev42	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0				
Charms	chms	char	weap	110	id 1 lev43	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							weap	0				
2Handed Melee Weapon	2han			111	id 1 lev44	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	1	3			0								0				
Act 3 and 5 Weapons	ac5			114	id 3 lev15	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	1	3			0								0				
Merc Equip	helm	armo	merc	115	id 3 lev16	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0				
a095	a095			116	id 3 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a096	a096			117	id 3 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a097	a097			118	id 3 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a098	a098			119	id 3 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a099	a099			120	id 3 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a100	a100			121	id 3 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a101	a101			122	id 3 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a102	a102			123	id 3 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a103	a103			124	id 3 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a104	a104			125	id 3 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a105	a105			126	id 3 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a106	a106			127	id 3 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a107	a107			128	id 3 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a108	a108			129	id 3 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a109	a109			130	id 3 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a110	a110			131	id 3 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a111	a111			132	id 3 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a112	a112			133	id 3 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a113	a113			134	id 3 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a114	a114			135	id 3 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a115	a115			136	id 3 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a116	a116			137	id 3 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a117	a117			138	id 3 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a118	a118			139	id 3 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a119	a119			140	id 3 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a120	a120			141	id 3 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a121	a121			142	id 3 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a122	a122			143	id 3 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a123	a123			144	id 3 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a124	a124			145	id 3 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a125	a125			146	id 3 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a126	a126			147	id 3 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a127	a127			148	id 3 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a128	a128			149	id 3 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a129	a129			150	id 3 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a130	a130			151	id 3 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a131	a131			152	id 3 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a132	a132			153	id 3 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a133	a133			154	id 3 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a134	a134			155	id 3 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a135	a135			156	id 3 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a136	a136			157	id 3 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a137	a137			158	id 3 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a138	a138			159	id 3 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a139	a139			160	id 3 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a140	a140			161	id 3 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a141	a141			162	id 3 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a142	a142			163	id 4 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a143	a143			164	id 4 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a144	a144			165	id 4 lev2	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a145	a145			166	id 4 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a146	a146			167	id 4 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a147	a147			168	id 4 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a148	a148			169	id 4 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a149	a149			170	id 4 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a150	a150			171	id 4 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a151	a151			172	id 4 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a152	a152			173	id 4 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a153	a153			174	id 4 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a154	a154			175	id 4 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a155	a155			176	id 4 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a156	a156			177	id 4 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a157	a157			178	id 4 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a158	a158			179	id 4 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a159	a159			180	id 4 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a160	a160			181	id 4 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a161	a161			182	id 4 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a162	a162			183	id 4 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a163	a163			184	id 4 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a164	a164			185	id 4 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a165	a165			186	id 4 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a166	a166			187	id 4 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a167	a167			188	id 4 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a168	a168			189	id 4 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a169	a169			190	id 4 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a170	a170			191	id 4 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a171	a171			192	id 4 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a172	a172			193	id 4 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a173	a173			194	id 4 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a174	a174			195	id 4 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a175	a175			196	id 4 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a176	a176			197	id 4 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a177	a177			198	id 4 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a178	a178			199	id 4 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a179	a179			200	id 4 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a180	a180			201	id 4 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a181	a181			202	id 4 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a182	a182			203	id 4 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a183	a183			204	id 4 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a184	a184			205	id 4 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a185	a185			206	id 4 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a186	a186			207	id 4 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a187	a187			208	id 4 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a188	a188			209	id 4 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a189	a189			210	id 4 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a190	a190			211	id 4 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a191	a191			212	id 4 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a192	a192			213	id 4 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a193	a193			214	id 4 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
a194	a194			215	id 4 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
